imdb_id,film_title,original_title,year,decade,runtime_minutes,genres,region,language,average_rating,num_votes,poster_url,synopsis,source_url
tt0283579,Sasirekha Parinayam,Sasirekha Parinayam,1936,1930s,,"Drama,Musical,Romance",IN,te,6.5,8,/static/placeholder_poster.svg,"Sasirekha Parinayam is a Telugu/Tollywood film released in 1936. IMDb lists its genres as Drama,Musical,Romance. It holds an IMDb rating of 6.5/10 based on 8 votes. This curated entry is part of the 1930s Tollywood cinema timeline.",https://www.imdb.com/title/tt0283579/
tt0255824,Balaji,Balaji,1939,1930s,171,,IN,te,7.3,7,/static/placeholder_poster.svg,Balaji is a Telugu/Tollywood film released in 1939. The film has a runtime of 171 minutes. It holds an IMDb rating of 7.3/10 based on 7 votes. This curated entry is part of the 1930s Tollywood cinema timeline.,https://www.imdb.com/title/tt0255824/
tt0261758,Jayapradha,Jayapradha,1939,1930s,190,,IN,te,,,/static/placeholder_poster.svg,Jayapradha is a Telugu/Tollywood film released in 1939. The film has a runtime of 190 minutes. This curated entry is part of the 1930s Tollywood cinema timeline.,https://www.imdb.com/title/tt0261758/
tt0255924,Dharmapatni,Dharmapatni,1941,1940s,170,Drama,IN,te,6.9,11,/static/placeholder_poster.svg,Dharmapatni is a Telugu/Tollywood film released in 1941. IMDb lists its genres as Drama. The film has a runtime of 170 minutes. It holds an IMDb rating of 6.9/10 based on 11 votes. This curated entry is part of the 1940s Tollywood cinema timeline.,https://www.imdb.com/title/tt0255924/
tt0259086,Vedavathi,Vedavathi,1941,1940s,,,IN,te,,,/static/placeholder_poster.svg,Vedavathi is a Telugu/Tollywood film released in 1941. This curated entry is part of the 1940s Tollywood cinema timeline.,https://www.imdb.com/title/tt0259086/
tt0259052,Thasippen,Thasippen,1942,1940s,,,IN,te,,,/static/placeholder_poster.svg,Thasippen is a Telugu/Tollywood film released in 1942. This curated entry is part of the 1940s Tollywood cinema timeline.,https://www.imdb.com/title/tt0259052/
tt0261963,Salivahanan,Salivahanan,1944,1940s,,,IN,te,,,/static/placeholder_poster.svg,Salivahanan is a Telugu/Tollywood film released in 1944. This curated entry is part of the 1940s Tollywood cinema timeline.,https://www.imdb.com/title/tt0261963/
tt0263833,Panduranga Mahatyam,Panduranga Mahatyam,1957,1950s,,"Drama,History,Musical",IN,te,8.0,76,/static/placeholder_poster.svg,"Panduranga Mahatyam is a Telugu/Tollywood film released in 1957. IMDb lists its genres as Drama,History,Musical. It holds an IMDb rating of 8.0/10 based on 76 votes. This curated entry is part of the 1950s Tollywood cinema timeline.",https://www.imdb.com/title/tt0263833/
tt0298122,Raju-Peda,Raju-Peda,1954,1950s,,Drama,IN,te,7.9,27,/static/placeholder_poster.svg,Raju-Peda is a Telugu/Tollywood film released in 1954. IMDb lists its genres as Drama. It holds an IMDb rating of 7.9/10 based on 27 votes. This curated entry is part of the 1950s Tollywood cinema timeline.,https://www.imdb.com/title/tt0298122/
tt0250714,School Master,School Master,1958,1950s,185,,IN,te,7.0,24,/static/placeholder_poster.svg,School Master is a Telugu/Tollywood film released in 1958. The film has a runtime of 185 minutes. It holds an IMDb rating of 7.0/10 based on 24 votes. This curated entry is part of the 1950s Tollywood cinema timeline.,https://www.imdb.com/title/tt0250714/
tt0234059,Kula Deivam,Kula Deivam,1956,1950s,137,,IN,te,4.6,8,/static/placeholder_poster.svg,Kula Deivam is a Telugu/Tollywood film released in 1956. The film has a runtime of 137 minutes. It holds an IMDb rating of 4.6/10 based on 8 votes. This curated entry is part of the 1950s Tollywood cinema timeline.,https://www.imdb.com/title/tt0234059/
tt1440212,Kaathavaraayan,Kaathavaraayan,1958,1950s,170,,IN,te,,,/static/placeholder_poster.svg,Kaathavaraayan is a Telugu/Tollywood film released in 1958. The film has a runtime of 170 minutes. This curated entry is part of the 1950s Tollywood cinema timeline.,https://www.imdb.com/title/tt1440212/
tt0234184,Mamiyar Mechia Marumagal,Mamiyar Mechia Marumagal,1958,1950s,,,IN,te,,,/static/placeholder_poster.svg,Mamiyar Mechia Marumagal is a Telugu/Tollywood film released in 1958. This curated entry is part of the 1950s Tollywood cinema timeline.,https://www.imdb.com/title/tt0234184/
tt0156666,Kalathur Kannamma,Kalathur Kannamma,1960,1960s,176,"Drama,Romance",IN,te,7.2,171,/static/placeholder_poster.svg,"Kalathur Kannamma is a Telugu/Tollywood film released in 1960. IMDb lists its genres as Drama,Romance. The film has a runtime of 176 minutes. It holds an IMDb rating of 7.2/10 based on 171 votes. This curated entry is part of the 1960s Tollywood cinema timeline.",https://www.imdb.com/title/tt0156666/
tt0156873,Parthal Pasi Theerum,Parthal Pasi Theerum,1962,1960s,159,"Drama,War",IN,te,7.4,86,/static/placeholder_poster.svg,"Parthal Pasi Theerum is a Telugu/Tollywood film released in 1962. IMDb lists its genres as Drama,War. The film has a runtime of 159 minutes. It holds an IMDb rating of 7.4/10 based on 86 votes. This curated entry is part of the 1960s Tollywood cinema timeline.",https://www.imdb.com/title/tt0156873/
tt1248983,Ooty Varai Uravu,Ooty Varai Uravu,1967,1960s,157,Romance,IN,te,8.1,79,/static/placeholder_poster.svg,Ooty Varai Uravu is a Telugu/Tollywood film released in 1967. IMDb lists its genres as Romance. The film has a runtime of 157 minutes. It holds an IMDb rating of 8.1/10 based on 79 votes. This curated entry is part of the 1960s Tollywood cinema timeline.,https://www.imdb.com/title/tt1248983/
tt0268929,Aananda Jothi,Aananda Jothi,1963,1960s,152,"Action,Crime,Drama",IN,te,7.2,39,/static/placeholder_poster.svg,"Aananda Jothi is a Telugu/Tollywood film released in 1963. IMDb lists its genres as Action,Crime,Drama. The film has a runtime of 152 minutes. It holds an IMDb rating of 7.2/10 based on 39 votes. This curated entry is part of the 1960s Tollywood cinema timeline.",https://www.imdb.com/title/tt0268929/
tt1476997,Kalankari Vilakkam,Kalankari Vilakkam,1965,1960s,142,,IN,te,6.2,26,/static/placeholder_poster.svg,Kalankari Vilakkam is a Telugu/Tollywood film released in 1965. The film has a runtime of 142 minutes. It holds an IMDb rating of 6.2/10 based on 26 votes. This curated entry is part of the 1960s Tollywood cinema timeline.,https://www.imdb.com/title/tt1476997/
tt0155567,Buddimantudu,Buddimantudu,1969,1960s,187,"Action,Comedy,Drama",IN,te,7.3,25,/static/placeholder_poster.svg,"Buddimantudu is a Telugu/Tollywood film released in 1969. IMDb lists its genres as Action,Comedy,Drama. The film has a runtime of 187 minutes. It holds an IMDb rating of 7.3/10 based on 25 votes. This curated entry is part of the 1960s Tollywood cinema timeline.",https://www.imdb.com/title/tt0155567/
tt0290567,Dhoomakethu,Dhoomakethu,1968,1960s,177,Drama,IN,te,9.2,24,/static/placeholder_poster.svg,Dhoomakethu is a Telugu/Tollywood film released in 1968. IMDb lists its genres as Drama. The film has a runtime of 177 minutes. It holds an IMDb rating of 9.2/10 based on 24 votes. This curated entry is part of the 1960s Tollywood cinema timeline.,https://www.imdb.com/title/tt0290567/
tt0250359,Emmay Thammanna,Emmay Thammanna,1966,1960s,150,,IN,te,8.8,20,/static/placeholder_poster.svg,Emmay Thammanna is a Telugu/Tollywood film released in 1966. The film has a runtime of 150 minutes. It holds an IMDb rating of 8.8/10 based on 20 votes. This curated entry is part of the 1960s Tollywood cinema timeline.,https://www.imdb.com/title/tt0250359/
tt1364232,Kathari Veera,Kathari Veera,1966,1960s,149,,IN,te,9.2,18,/static/placeholder_poster.svg,Kathari Veera is a Telugu/Tollywood film released in 1966. The film has a runtime of 149 minutes. It holds an IMDb rating of 9.2/10 based on 18 votes. This curated entry is part of the 1960s Tollywood cinema timeline.,https://www.imdb.com/title/tt1364232/
tt0317859,Kumari Penn,Kumari Penn,1966,1960s,154,"Musical,Romance",IN,te,6.7,12,/static/placeholder_poster.svg,"Kumari Penn is a Telugu/Tollywood film released in 1966. IMDb lists its genres as Musical,Romance. The film has a runtime of 154 minutes. It holds an IMDb rating of 6.7/10 based on 12 votes. This curated entry is part of the 1960s Tollywood cinema timeline.",https://www.imdb.com/title/tt0317859/
tt0248137,Koduthu Vaithaval,Koduthu Vaithaval,1963,1960s,125,Drama,IN,te,6.7,8,/static/placeholder_poster.svg,Koduthu Vaithaval is a Telugu/Tollywood film released in 1963. IMDb lists its genres as Drama. The film has a runtime of 125 minutes. It holds an IMDb rating of 6.7/10 based on 8 votes. This curated entry is part of the 1960s Tollywood cinema timeline.,https://www.imdb.com/title/tt0248137/
tt0297378,Santa,Santa,1961,1960s,,Drama,IN,te,,,/static/placeholder_poster.svg,Santa is a Telugu/Tollywood film released in 1961. IMDb lists its genres as Drama. This curated entry is part of the 1960s Tollywood cinema timeline.,https://www.imdb.com/title/tt0297378/
tt33355417,Sabash Thambi,Sabash Thambi,1967,1960s,,Thriller,IN,te,,,/static/placeholder_poster.svg,Sabash Thambi is a Telugu/Tollywood film released in 1967. IMDb lists its genres as Thriller. This curated entry is part of the 1960s Tollywood cinema timeline.,https://www.imdb.com/title/tt33355417/
tt0259889,Bhale Rangadu,Bhale Rangadu,1969,1960s,,,IN,te,,,/static/placeholder_poster.svg,Bhale Rangadu is a Telugu/Tollywood film released in 1969. This curated entry is part of the 1960s Tollywood cinema timeline.,https://www.imdb.com/title/tt0259889/
tt0140304,Kalyanaraman,Kalyanaraman,1979,1970s,134,"Action,Comedy,Drama",IN,te,6.6,201,/static/placeholder_poster.svg,"Kalyanaraman is a Telugu/Tollywood film released in 1979. IMDb lists its genres as Action,Comedy,Drama. The film has a runtime of 134 minutes. It holds an IMDb rating of 6.6/10 based on 201 votes. This curated entry is part of the 1970s Tollywood cinema timeline.",https://www.imdb.com/title/tt0140304/
tt0277580,Annai Oru Aalayam,Annai Oru Aalayam,1979,1970s,122,"Adventure,Drama",IN,te,6.9,136,/static/placeholder_poster.svg,"Annai Oru Aalayam is a Telugu/Tollywood film released in 1979. IMDb lists its genres as Adventure,Drama. The film has a runtime of 122 minutes. It holds an IMDb rating of 6.9/10 based on 136 votes. This curated entry is part of the 1970s Tollywood cinema timeline.",https://www.imdb.com/title/tt0277580/
tt0214984,Neeya,Neeya,1979,1970s,137,"Drama,Fantasy,Musical",IN,te,5.7,125,/static/placeholder_poster.svg,"Neeya is a Telugu/Tollywood film released in 1979. IMDb lists its genres as Drama,Fantasy,Musical. The film has a runtime of 137 minutes. It holds an IMDb rating of 5.7/10 based on 125 votes. This curated entry is part of the 1970s Tollywood cinema timeline.",https://www.imdb.com/title/tt0214984/
tt0402738,Aadu Puli Attam,Aadu Puli Attam,1977,1970s,136,"Action,Drama,Thriller",IN,te,6.9,102,/static/placeholder_poster.svg,"Aadu Puli Attam is a Telugu/Tollywood film released in 1977. IMDb lists its genres as Action,Drama,Thriller. The film has a runtime of 136 minutes. It holds an IMDb rating of 6.9/10 based on 102 votes. This curated entry is part of the 1970s Tollywood cinema timeline.",https://www.imdb.com/title/tt0402738/
tt0154923,Naan Avanillai,Naan Avanillai,1974,1970s,162,"Comedy,Drama,Thriller",IN,te,7.4,93,/static/placeholder_poster.svg,"Naan Avanillai is a Telugu/Tollywood film released in 1974. IMDb lists its genres as Comedy,Drama,Thriller. The film has a runtime of 162 minutes. It holds an IMDb rating of 7.4/10 based on 93 votes. This curated entry is part of the 1970s Tollywood cinema timeline.",https://www.imdb.com/title/tt0154923/
tt0186794,Thayillamal Nannilai,Thayillamal Nannilai,1979,1970s,135,"Action,Drama",IN,te,6.3,85,/static/placeholder_poster.svg,"Thayillamal Nannilai is a Telugu/Tollywood film released in 1979. IMDb lists its genres as Action,Drama. The film has a runtime of 135 minutes. It holds an IMDb rating of 6.3/10 based on 85 votes. This curated entry is part of the 1970s Tollywood cinema timeline.",https://www.imdb.com/title/tt0186794/
tt1416782,Shri Srinivasa Kalyana,Shri Srinivasa Kalyana,1974,1970s,160,,IN,te,8.5,84,/static/placeholder_poster.svg,Shri Srinivasa Kalyana is a Telugu/Tollywood film released in 1974. The film has a runtime of 160 minutes. It holds an IMDb rating of 8.5/10 based on 84 votes. This curated entry is part of the 1970s Tollywood cinema timeline.,https://www.imdb.com/title/tt1416782/
tt1369464,Bahaddur Gandu,Bahaddur Gandu,1976,1970s,139,,IN,te,8.6,82,/static/placeholder_poster.svg,Bahaddur Gandu is a Telugu/Tollywood film released in 1976. The film has a runtime of 139 minutes. It holds an IMDb rating of 8.6/10 based on 82 votes. This curated entry is part of the 1970s Tollywood cinema timeline.,https://www.imdb.com/title/tt1369464/
tt0266737,Madanolsavam,Madanolsavam,1978,1970s,149,"Drama,Romance",IN,te,7.3,72,/static/placeholder_poster.svg,"Madanolsavam is a Telugu/Tollywood film released in 1978. IMDb lists its genres as Drama,Romance. The film has a runtime of 149 minutes. It holds an IMDb rating of 7.3/10 based on 72 votes. This curated entry is part of the 1970s Tollywood cinema timeline.",https://www.imdb.com/title/tt0266737/
tt8541250,Aparichita,Aparichita,1978,1970s,139,"Horror,Mystery,Thriller",IN,te,8.1,43,/static/placeholder_poster.svg,"Aparichita is a Telugu/Tollywood film released in 1978. IMDb lists its genres as Horror,Mystery,Thriller. The film has a runtime of 139 minutes. It holds an IMDb rating of 8.1/10 based on 43 votes. This curated entry is part of the 1970s Tollywood cinema timeline.",https://www.imdb.com/title/tt8541250/
tt0156098,Sree Rama Anjaneya Yuddham,Sree Rama Anjaneya Yuddham,1975,1970s,166,"Drama,Fantasy",IN,te,7.9,41,/static/placeholder_poster.svg,"Sree Rama Anjaneya Yuddham is a Telugu/Tollywood film released in 1975. IMDb lists its genres as Drama,Fantasy. The film has a runtime of 166 minutes. It holds an IMDb rating of 7.9/10 based on 41 votes. This curated entry is part of the 1970s Tollywood cinema timeline.",https://www.imdb.com/title/tt0156098/
tt1821560,Oru Oodhappu Kan Simittugiradhu,Oru Oodhappu Kan Simittugiradhu,1976,1970s,117,"Drama,Romance",IN,te,7.4,40,/static/placeholder_poster.svg,"Oru Oodhappu Kan Simittugiradhu is a Telugu/Tollywood film released in 1976. IMDb lists its genres as Drama,Romance. The film has a runtime of 117 minutes. It holds an IMDb rating of 7.4/10 based on 40 votes. This curated entry is part of the 1970s Tollywood cinema timeline.",https://www.imdb.com/title/tt1821560/
tt0362413,Antharangam,Antharangam,1975,1970s,108,"Drama,Romance",IN,te,5.9,39,/static/placeholder_poster.svg,"Antharangam is a Telugu/Tollywood film released in 1975. IMDb lists its genres as Drama,Romance. The film has a runtime of 108 minutes. It holds an IMDb rating of 5.9/10 based on 39 votes. This curated entry is part of the 1970s Tollywood cinema timeline.",https://www.imdb.com/title/tt0362413/
tt1365439,Bhale Huchcha,Bhale Huchcha,1972,1970s,,,IN,te,8.8,36,/static/placeholder_poster.svg,Bhale Huchcha is a Telugu/Tollywood film released in 1972. It holds an IMDb rating of 8.8/10 based on 36 votes. This curated entry is part of the 1970s Tollywood cinema timeline.,https://www.imdb.com/title/tt1365439/
tt0187486,Sathyavan Savithri,Sathyavan Savithri,1977,1970s,177,"Biography,Drama,History",IN,te,5.1,33,/static/placeholder_poster.svg,"Sathyavan Savithri is a Telugu/Tollywood film released in 1977. IMDb lists its genres as Biography,Drama,History. The film has a runtime of 177 minutes. It holds an IMDb rating of 5.1/10 based on 33 votes. This curated entry is part of the 1970s Tollywood cinema timeline.",https://www.imdb.com/title/tt0187486/
tt0155917,Niram Maaratha Pookkal,Niram Maaratha Pookkal,1979,1970s,,,IN,te,7.1,32,/static/placeholder_poster.svg,Niram Maaratha Pookkal is a Telugu/Tollywood film released in 1979. It holds an IMDb rating of 7.1/10 based on 32 votes. This curated entry is part of the 1970s Tollywood cinema timeline.,https://www.imdb.com/title/tt0155917/
tt1445071,Naam Pirandha Mann,Naam Pirandha Mann,1977,1970s,167,"Action,Crime,Drama",IN,te,5.0,31,/static/placeholder_poster.svg,"Naam Pirandha Mann is a Telugu/Tollywood film released in 1977. IMDb lists its genres as Action,Crime,Drama. The film has a runtime of 167 minutes. It holds an IMDb rating of 5.0/10 based on 31 votes. This curated entry is part of the 1970s Tollywood cinema timeline.",https://www.imdb.com/title/tt1445071/
tt0187264,Manitharil Ithanai Nirangala,Manitharil Ithanai Nirangala,1978,1970s,,,IN,te,5.5,29,/static/placeholder_poster.svg,Manitharil Ithanai Nirangala is a Telugu/Tollywood film released in 1978. It holds an IMDb rating of 5.5/10 based on 29 votes. This curated entry is part of the 1970s Tollywood cinema timeline.,https://www.imdb.com/title/tt0187264/
tt0320210,Ormakal Marikkumo?,Ormakal Marikkumo?,1977,1970s,150,Drama,IN,te,6.6,28,/static/placeholder_poster.svg,Ormakal Marikkumo? is a Telugu/Tollywood film released in 1977. IMDb lists its genres as Drama. The film has a runtime of 150 minutes. It holds an IMDb rating of 6.6/10 based on 28 votes. This curated entry is part of the 1970s Tollywood cinema timeline.,https://www.imdb.com/title/tt0320210/
tt0214785,Idaya Malar,Idaya Malar,1976,1970s,133,"Drama,Romance",IN,te,6.5,27,/static/placeholder_poster.svg,"Idaya Malar is a Telugu/Tollywood film released in 1976. IMDb lists its genres as Drama,Romance. The film has a runtime of 133 minutes. It holds an IMDb rating of 6.5/10 based on 27 votes. This curated entry is part of the 1970s Tollywood cinema timeline.",https://www.imdb.com/title/tt0214785/
tt0371870,Pattikatu Raja,Pattikatu Raja,1975,1970s,144,"Action,Drama,Musical",IN,te,7.7,24,/static/placeholder_poster.svg,"Pattikatu Raja is a Telugu/Tollywood film released in 1975. IMDb lists its genres as Action,Drama,Musical. The film has a runtime of 144 minutes. It holds an IMDb rating of 7.7/10 based on 24 votes. This curated entry is part of the 1970s Tollywood cinema timeline.",https://www.imdb.com/title/tt0371870/
tt1445737,Sathyam,Sathyam,1976,1970s,145,"Drama,Romance",IN,te,7.1,22,/static/placeholder_poster.svg,"Sathyam is a Telugu/Tollywood film released in 1976. IMDb lists its genres as Drama,Romance. The film has a runtime of 145 minutes. It holds an IMDb rating of 7.1/10 based on 22 votes. This curated entry is part of the 1970s Tollywood cinema timeline.",https://www.imdb.com/title/tt1445737/
tt0279505,Vishnu Vijayam,Vishnu Vijayam,1974,1970s,,Drama,IN,te,7.7,20,/static/placeholder_poster.svg,Vishnu Vijayam is a Telugu/Tollywood film released in 1974. IMDb lists its genres as Drama. It holds an IMDb rating of 7.7/10 based on 20 votes. This curated entry is part of the 1970s Tollywood cinema timeline.,https://www.imdb.com/title/tt0279505/
tt0257826,KD No. 1,KD No. 1,1978,1970s,151,,IN,te,6.6,18,/static/placeholder_poster.svg,KD No. 1 is a Telugu/Tollywood film released in 1978. The film has a runtime of 151 minutes. It holds an IMDb rating of 6.6/10 based on 18 votes. This curated entry is part of the 1970s Tollywood cinema timeline.,https://www.imdb.com/title/tt0257826/
tt8963556,Pattampoochi,Pattampoochi,1975,1970s,148,"Drama,Romance",IN,te,8.0,14,/static/placeholder_poster.svg,"Pattampoochi is a Telugu/Tollywood film released in 1975. IMDb lists its genres as Drama,Romance. The film has a runtime of 148 minutes. It holds an IMDb rating of 8.0/10 based on 14 votes. This curated entry is part of the 1970s Tollywood cinema timeline.",https://www.imdb.com/title/tt8963556/
tt0155961,Ponni,Ponni,1976,1970s,100,Drama,IN,te,5.2,14,/static/placeholder_poster.svg,Ponni is a Telugu/Tollywood film released in 1976. IMDb lists its genres as Drama. The film has a runtime of 100 minutes. It holds an IMDb rating of 5.2/10 based on 14 votes. This curated entry is part of the 1970s Tollywood cinema timeline.,https://www.imdb.com/title/tt0155961/
tt5760166,Aayirathil Oruthi,Aayirathil Oruthi,1975,1970s,117,"Crime,Drama",IN,te,6.7,12,/static/placeholder_poster.svg,"Aayirathil Oruthi is a Telugu/Tollywood film released in 1975. IMDb lists its genres as Crime,Drama. The film has a runtime of 117 minutes. It holds an IMDb rating of 6.7/10 based on 12 votes. This curated entry is part of the 1970s Tollywood cinema timeline.",https://www.imdb.com/title/tt5760166/
tt8954454,Thangathile vairam,Thangathile vairam,1975,1970s,135,Drama,IN,te,,,/static/placeholder_poster.svg,Thangathile vairam is a Telugu/Tollywood film released in 1975. IMDb lists its genres as Drama. The film has a runtime of 135 minutes. This curated entry is part of the 1970s Tollywood cinema timeline.,https://www.imdb.com/title/tt8954454/
tt0154640,Indradhanusu,Indradhanusu,1977,1970s,,Drama,IN,te,,,/static/placeholder_poster.svg,Indradhanusu is a Telugu/Tollywood film released in 1977. IMDb lists its genres as Drama. This curated entry is part of the 1970s Tollywood cinema timeline.,https://www.imdb.com/title/tt0154640/
tt0261780,Khiladi Krishnudu,Khiladi Krishnudu,1979,1970s,,,IN,te,,,/static/placeholder_poster.svg,Khiladi Krishnudu is a Telugu/Tollywood film released in 1979. This curated entry is part of the 1970s Tollywood cinema timeline.,https://www.imdb.com/title/tt0261780/
tt0281327,Urvasi Niney Naa Priyasi,Urvasi Niney Naa Priyasi,1979,1970s,,Musical,IN,te,,,/static/placeholder_poster.svg,Urvasi Niney Naa Priyasi is a Telugu/Tollywood film released in 1979. IMDb lists its genres as Musical. This curated entry is part of the 1970s Tollywood cinema timeline.,https://www.imdb.com/title/tt0281327/
tt0245682,Abhilasha,Abhilasha,1983,1980s,145,Thriller,IN,te,7.7,282,/static/placeholder_poster.svg,Abhilasha is a Telugu/Tollywood film released in 1983. IMDb lists its genres as Thriller. The film has a runtime of 145 minutes. It holds an IMDb rating of 7.7/10 based on 282 votes. This curated entry is part of the 1980s Tollywood cinema timeline.,https://www.imdb.com/title/tt0245682/
tt0155664,Dhavani Kannavukal,Dhavani Kannavukal,1984,1980s,148,Drama,IN,te,7.3,202,/static/placeholder_poster.svg,Dhavani Kannavukal is a Telugu/Tollywood film released in 1984. IMDb lists its genres as Drama. The film has a runtime of 148 minutes. It holds an IMDb rating of 7.3/10 based on 202 votes. This curated entry is part of the 1980s Tollywood cinema timeline.,https://www.imdb.com/title/tt0155664/
tt0187445,Ranuva Veeran,Ranuva Veeran,1981,1980s,152,"Action,Crime,Drama",IN,te,5.2,164,/static/placeholder_poster.svg,"Ranuva Veeran is a Telugu/Tollywood film released in 1981. IMDb lists its genres as Action,Crime,Drama. The film has a runtime of 152 minutes. It holds an IMDb rating of 5.2/10 based on 164 votes. This curated entry is part of the 1980s Tollywood cinema timeline.",https://www.imdb.com/title/tt0187445/
tt0187273,Meendum Kokila,Meendum Kokila,1981,1980s,139,"Comedy,Drama,Romance",IN,te,6.4,161,/static/placeholder_poster.svg,"Meendum Kokila is a Telugu/Tollywood film released in 1981. IMDb lists its genres as Comedy,Drama,Romance. The film has a runtime of 139 minutes. It holds an IMDb rating of 6.4/10 based on 161 votes. This curated entry is part of the 1980s Tollywood cinema timeline.",https://www.imdb.com/title/tt0187273/
tt0320262,Per Sollum Pillai,Per Sollum Pillai,1987,1980s,134,"Action,Drama,Family",IN,te,6.4,151,/static/placeholder_poster.svg,"Per Sollum Pillai is a Telugu/Tollywood film released in 1987. IMDb lists its genres as Action,Drama,Family. The film has a runtime of 134 minutes. It holds an IMDb rating of 6.4/10 based on 151 votes. This curated entry is part of the 1980s Tollywood cinema timeline.",https://www.imdb.com/title/tt0320262/
tt0186807,Aakhari Poratam,Aakhari Poratam,1988,1980s,145,"Action,Drama,Thriller",IN,te,6.2,147,/static/placeholder_poster.svg,"Aakhari Poratam is a Telugu/Tollywood film released in 1988. IMDb lists its genres as Action,Drama,Thriller. The film has a runtime of 145 minutes. It holds an IMDb rating of 6.2/10 based on 147 votes. This curated entry is part of the 1980s Tollywood cinema timeline.",https://www.imdb.com/title/tt0186807/
tt0323454,Thanga Magan,Thanga Magan,1983,1980s,120,"Action,Drama",IN,te,6.2,138,/static/placeholder_poster.svg,"Thanga Magan is a Telugu/Tollywood film released in 1983. IMDb lists its genres as Action,Drama. The film has a runtime of 120 minutes. It holds an IMDb rating of 6.2/10 based on 138 votes. This curated entry is part of the 1980s Tollywood cinema timeline.",https://www.imdb.com/title/tt0323454/
tt0274336,Anbukku Naan Adimai,Anbukku Naan Adimai,1980,1980s,131,"Action,Drama",IN,te,6.8,91,/static/placeholder_poster.svg,"Anbukku Naan Adimai is a Telugu/Tollywood film released in 1980. IMDb lists its genres as Action,Drama. The film has a runtime of 131 minutes. It holds an IMDb rating of 6.8/10 based on 91 votes. This curated entry is part of the 1980s Tollywood cinema timeline.",https://www.imdb.com/title/tt0274336/
tt0154101,47 Natkal,47 Natkal,1981,1980s,125,Drama,IN,te,7.0,77,/static/placeholder_poster.svg,47 Natkal is a Telugu/Tollywood film released in 1981. IMDb lists its genres as Drama. The film has a runtime of 125 minutes. It holds an IMDb rating of 7.0/10 based on 77 votes. This curated entry is part of the 1980s Tollywood cinema timeline.,https://www.imdb.com/title/tt0154101/
tt0235617,Nenjathai Killathe,Nenjathai Killathe,1980,1980s,130,"Drama,Romance",IN,te,7.6,75,/static/placeholder_poster.svg,"Nenjathai Killathe is a Telugu/Tollywood film released in 1980. IMDb lists its genres as Drama,Romance. The film has a runtime of 130 minutes. It holds an IMDb rating of 7.6/10 based on 75 votes. This curated entry is part of the 1980s Tollywood cinema timeline.",https://www.imdb.com/title/tt0235617/
tt0364665,Sivappu Sooriyan,Sivappu Sooriyan,1983,1980s,139,Action,IN,te,5.5,71,/static/placeholder_poster.svg,Sivappu Sooriyan is a Telugu/Tollywood film released in 1983. IMDb lists its genres as Action. The film has a runtime of 139 minutes. It holds an IMDb rating of 5.5/10 based on 71 votes. This curated entry is part of the 1980s Tollywood cinema timeline.,https://www.imdb.com/title/tt0364665/
tt0279063,Ellaam Inbamayam,Ellaam Inbamayam,1981,1980s,136,"Comedy,Drama",IN,te,7.1,63,/static/placeholder_poster.svg,"Ellaam Inbamayam is a Telugu/Tollywood film released in 1981. IMDb lists its genres as Comedy,Drama. The film has a runtime of 136 minutes. It holds an IMDb rating of 7.1/10 based on 63 votes. This curated entry is part of the 1980s Tollywood cinema timeline.",https://www.imdb.com/title/tt0279063/
